,method,politics_en,politics_es,politics_fr,politics_ja,politics_pt,finance_en,finance_es,finance_fr,finance_ja,finance_pt,overall
0,zero_shot_aya-expanse-8b_False_False,62.71,61.1,61.67,69.63,62.47,59.35,65.21,65.52,74.97,65.5,63.74
1,zero_shot_ministral-8b_False_False,39.59,36.79,37.28,35.04,34.56,37.54,36.92,31.49,34.44,38.64,36.74
2,zero_shot_eurollm-9b_False_False,47.06,40.6,45.57,52.43,47.72,45.12,43.19,39.06,48.22,49.44,46.46
3,zero_shot_eurollm-22b_False_False,54.75,56.5,56.17,71.21,59.53,51.94,56.09,64.15,66.88,60.36,59.23
4,zero_shot_aya-expanse-32b_False_False,71.79,69.37,66.04,74.9,66.71,69.7,69.89,59.72,79.13,70.95,69.93
5,zero_shot_qwen3-14b_False_False,62.07,62.07,59.8,70.4,63.72,59.6,61.94,53.77,64.53,63.14,62.83
6,zero_shot_qwen3-14b_True_False,56.99,54.8,56.39,67.0,57.9,57.79,59.26,56.46,62.84,62.31,58.92
7,zero_shot_qwen3-32b_False_False,68.63,65.15,62.7,66.8,64.83,64.4,65.73,62.21,73.03,65.36,65.68
8,zero_shot_qwen3-32b_True_False,62.65,57.75,60.56,62.19,60.72,61.09,60.18,60.38,66.11,62.71,61.15
9,zero_shot_gpt-5-nano_False_False,39.45,36.79,37.01,38.08,37.39,38.16,34.48,35.01,40.35,43.21,38.09
10,zero_shot_gpt-5-nano_True_False,55.47,50.89,51.62,57.54,55.35,57.77,51.29,52.56,61.8,53.14,54.81
11,web_search_gpt-5-nano_True_True,81.2,74.83,73.32,79.23,76.21,73.95,69.98,59.45,83.62,69.42,75.59
12,web_search_URL_gpt-5-nano_True_True,81.45,74.17,72.01,81.5,81.45,75.56,70.04,62.83,85.35,74.28,77.07
13,zero_shot_gemini-2.5-flash_False_False,65.66,67.2,67.49,74.17,66.06,65.45,64.17,62.46,81.6,68.01,68.01
14,zero_shot_gemini-2.5-flash_True_False,67.45,65.6,65.71,70.74,65.67,63.58,63.38,63.51,78.48,69.0,66.97
15,web_search_gemini-2.5-flash_True_True,82.37,78.06,75.57,82.33,76.55,75.94,72.94,68.18,92.37,72.76,78.13
16,web_search_URL_gemini-2.5-flash_True_True,79.89,78.53,77.01,81.51,76.85,76.32,70.86,62.83,84.16,71.87,77.46
17,zero_shot_grok-4.3_False_False,54.93,51.7,52.73,58.83,53.06,54.0,50.33,51.73,52.11,52.07,53.85
18,zero_shot_grok-4.3_True_False,67.65,66.82,70.72,77.07,73.24,69.63,72.37,76.69,78.48,73.3,71.58
19,web_search_grok-4.3_True_True,86.09,80.23,82.45,88.51,83.04,83.1,81.76,77.02,92.49,81.65,83.8
20,web_search_URL_grok-4.3_True_True,89.83,83.43,83.46,90.4,86.57,84.38,77.29,78.81,91.56,82.96,85.77
